,corp_code,corp_name,corp_eng_name,stock_code,modify_date
0,00434003,다코,Daco corporation, ,20170630
1,00430964,굿앤엘에스,"Good & LS Co.,Ltd.", ,20170630
2,00388953,크레디피아제이십오차유동화전문회사,Credipia 25th Asset Securitization Specialty L.L.C, ,20170630
3,00179984,연방건설산업,youn bao, ,20170630
4,00420143,브룩스피알아이오토메이션잉크,"BROOKS-PRI Automation, Inc.", ,20170630
5,00401111,매경아이비아이,Maekyung International Business Incubator, ,20170630
6,00435534,캐드뱅크,CADBANK, ,20170630
7,00430186,엠와이오피삼차유동화전문유한회사,MYOP III Securitization L.L.C., ,20170630
8,00430201,엠와이오피이차유동화전문유한회사,MYOP II Securitization L.L.C., ,20170630
9,00430210,엠와이오피일차유동화전문유한회사,MYOP I Securitization L.L.C., ,20170630
10,00430229,포스미디어,"Possmedia.Co.,Ltd", ,20170630
11,00140432,축복할렐루야,"Yeun Hung Asia Co., Ltd", ,20170630
12,00426208,한국전자화학, , ,20170630
13,00433262,ConnachtCapitalMarketInvestmentLtd.,Connacht Capital Market Investment Ltd., ,20170630
14,00433749,선진아이티,"Sunjin IT co.,Ltd.", ,20170630
15,00433785,팀스코리아,TIMS KOREA, ,20170630
16,00196079,에넥스하이테크,"ENEXHITECH CO.,LTD", ,20170630
17,00435048,세이스텝바이스텝혼합형펀드,SEI Step by Step Balanced Fund, ,20170630
18,00435057,유리알파헷지채권혼합형펀드,YurieAlphaHedgeBondBalancedFund                   , ,20170630
19,00108843,한기술정보통신,HanTech, ,20170630
20,00443232,다움종합건설, , ,20170630
21,00248293,한국애치슨,Acheson Korea Limited., ,20170630
22,00455662,고은상사, , ,20170630
23,00149318,조흥종합건설,"Chheung construction co.,ltd", ,20170630
24,00451347,유니즈유통,uniz, ,20170630
25,00415105,창대화장품,ChangDae Cosmetics, ,20170630
26,00420824,문화종합건설,"MOONHWA CONSTRUCTION CO., LTD", ,20170630
27,00389439,한국종합미디어,"HAN KOOK MASS MEDIA CO.,LTD", ,20170630
28,00454016,아이펜텍,IPENTEC INC., ,20170630
29,00452072,대홍염공, , ,20170630
30,00437602,지오항공여행사,geoclub.co.kr, ,20170630
31,00365518,헤이아니타코리아,"HeyAnita Korea, Inc.", ,20170630
32,00246967,태산산업개발,"TAESAN INDUSTRIAL DEVELOPMENT.CO.,LTD", ,20170630
33,00445559,군포종합시장, , ,20170630
34,00444657,기우,KIU CORPORATION, ,20170630
35,00448936,라시도,해당없음, ,20170630
36,00405658,예전미디어,yejeon media , ,20170630
37,00410818,세미가,"SEMIGA CO.,Ltd.", ,20170630
38,00416061,대닉스,daenyx, ,20170630
39,00448909,인포핸드,"INFOHAND CO., LTD", ,20170630
40,00445407,지현개발,ZHYUN CO.LTD, ,20170630
41,00421647,한국부동산신탁제일차유동화전문유한회사,Hankook Real Estate Trust first ABS Specialty LLC., ,20170630
42,00421425,ISCCaymanLtd.,ISC Cayman Ltd., ,20170630
43,00423265,연산,"YEONSAN CO., LTD", ,20170630
44,00423292,씨케이알유동화전문유한회사,CKR ABS Specialty L.L.C, ,20170630
45,00420602,디에스피,"DSP CO., LTD", ,20170630
46,00307505,LOMBARDKOREAILIMITED,LOMBARD KOREA I LIMITED, ,20170630
47,00241397,우신투자자문,"Wooshin Investment Management Co., Ltd.", ,20170630
48,00421896,외환카드제오차유동화전문유한회사,KEBCS Securitization 2002-5 Limited, ,20170630
49,00365712,태연, , ,20170630
50,00388616,글로벌금강제일차유동화전문유한회사, , ,20170630
51,00230407,글로벌렌탈,"Global Rental Co., Ltd.", ,20170630
52,00423566,뤼미에르에셋,Lumiere Asset co.Ltd, ,20170630
53,00423274,바사라엔터테인먼트,BASARA Entertainment Inc., ,20170630
54,00419688,대백유동화전문유한회사,"Debec Asset Securitization Specialty Co., Ltd ", ,20170630
55,00419712,아이키키,ikiki, ,20170630
56,00414665,진명씨앤씨,"JIN MYUNG C&C CO.,LTD", ,20170630
57,00421869,한경핫벤처,Hankyung Hotventure, ,20170630
58,00421957,우리부동산제일차유동화전문유한회사,"Woori Real Property 1st Securitization Specialty Co., Ltd.", ,20170630
59,00255442,영진상운, , ,20170630
60,00427517,한국토지신탁제오차유동화전문유한회사,"KOREIT 5th Asset Securitization Specialty Co.,Ltd.", ,20170630
61,00376152,다드림커뮤니케이션,Dadream Communication Inc., ,20170630
62,00382241,ARISAIGASIANSMALLCOMPANIESFUND(L)BHD,ARISAIG ASIAN SMALL COMPANIES FUND(L) BHD, ,20170630
63,00431501,싱가포르개발은행서울지점,THE DEVELOPMENT BANK OF SINGAPORE LTD SEOUL BRANCH, ,20170630
64,00434289,KTB혼합형펀드, , ,20170630
65,00434298,KTB플러스찬스혼합형펀드, , ,20170630
66,00434313,KTB포트폴리오스타혼합형펀드, , ,20170630
67,00434322,KTB에버스타혼합형펀드, , ,20170630
68,00429463,나노이앤씨,"nano enc co, ltd.", ,20170630
69,00429515,지산엔터프라이즈,G-san M&A Consulting, ,20170630
70,00432175,유아이에스코리아,uiskorea, ,20170630
71,00387033,트리플에스유동화전문유한회사,"Triple S Specialty Co., Ltd.", ,20170630
72,00384045,크레디피아제이십일차유동화전문유한회사,Credipia 21st Asset Securitization Specialty L.L.C., ,20170630
73,00431608,싱가포르개발은행,"The Development Bank of Singapore, Singapore", ,20170630
74,00431705,엘지팩토링제일차유동화전문유한회사,"LG Factoring First ABS Specialty Co., Ltd.", ,20170630
75,00430256,이피에스뱅크,"EPS BANK Co., Ltd.", ,20170630
76,00431167,이라이프네트워크,ELIFE NETWORK, ,20170630
77,00432315,덕성,duk-sung, ,20170630
78,00413134,타오건설,"TAO CONSTRUCTION CO.,LTD", ,20170630
79,00435376,장원코리아,"Jang - Won Korea Co., Ltd", ,20170630
80,00110909,대신통상,DAESHIN LTD., ,20170630
81,00220695,서울교육, , ,20170630
82,00211794,보성패션,"BOSUNG FASHION CO., LTD.", ,20170630
83,00454496,넥스탑,nextop, ,20170630
84,00455592,마니빌, , ,20170630
85,00370796,제이엘코프,JL Corp., ,20170630
86,00199401,컴마을,"COMMAEUL CO., LTD.", ,20170630
87,00369596,삼신크리에이션,"SAMSHIN CREATION CO.,LTD.", ,20170630
88,00210078,호한통상,"HO HAN AUSKDR CO.,LTD", ,20170630
89,00363398,케이엠티,KMT Company., ,20170630
90,00110042,대백가구, , ,20170630
91,00364324,청빛산업개발,CHONG BIT Industry Construction, ,20170630
92,00248017,삼양전자,SAMYANG ELECTRONICS CO.LTD., ,20170630
93,00452179,숭민코리아유통,SOONGMIN KOREA, ,20170630
94,00413754,유오티앤씨,UOT&C, ,20170630
95,00343163,한라스페코중공업,Halla-Speco Heavy Industries Ltd., ,20170630
96,00452513,알본,"AL-BORN CO.,LTD.", ,20170630
